Question
A quoi sert une veille créative et quand la réalise-t-on ?
Qu'est-ce qu'un mooboard et à quoi sert-il ? 
Quelle étape est indispensable avant de commencer une démarche de veille ?
A quoi sert la veille technologique en projet de communication ? 
Quels sont les risques principaux dans l'utilisation d'une seule et unique source en veille ?
Quel est le rôle du brief annonceur en démarche de veille ? 
Citer 4 rôles de la démarche de veille en projet de communication 
Qu'est-ce qu'une information factuelle ? Donner un exemple
Qu'est-ce qu'une information d'opinion ? Donner un exemple
Qu'est-ce qu'une information stratégique ? Donner un exemple 
En démarche de veille, qu'est-ce qu'une source primaire ? 
En démarche de veille, qu'est-ce qu'une source secondaire ? 
Qu'est-ce qu'une information conditionnelle en veille ? 
En démarche de veille, quelle est l'utilité d'une information payante ?
Donner 4 critères de validation de la fiabilité d'une information
Quelles sont les finalités d'une veille graphique ou créative ? 
Quelles sont les finalités d'une veille de tendance et de consommation ? 
Quelles sont les finalités d'une veille sur les évolutions des outils / technologie ? 
Formuler les 4 questions à se poser avant de réaliser une veille 
